ptsMs,latencyMs,frameType
28583,6220,B
28625,6221,P
28666,6400,B
28708,6409,P
28750,6407,I
28791,6405,B
28833,6404,B
28875,6402,B
28916,6409,P
28958,6407,B
29000,6405,B
29041,6403,B
29083,6402,P
29125,6409,B
29166,6406,B
29208,6405,B
29250,6402,P
29291,6602,B
29333,6608,P
29375,6606,I
29416,6603,B
29458,6601,B
29500,6609,B
29541,6607,P
29583,6606,B
29625,6604,B
29666,6611,B
29708,6609,P
29750,6607,B
29791,6605,B
29833,6604,B
29875,6610,P
29916,6821,B
29958,6822,P
30000,6830,I
30041,6827,B
30083,6824,B
30125,6824,B
30166,6831,P
30208,6829,B
30250,6827,B
30291,6825,B
30333,6824,P
30375,6831,B
30416,6828,B
30458,6827,B
30500,6825,P
30541,7003,B
30583,7005,P
30625,7003,I
30666,7011,B
30708,7008,B
30750,7007,B
30791,7005,P
30833,7011,B
30875,7010,B
30916,7008,B
30958,7006,P
31000,7005,B
31041,7012,B
31083,7009,B
31125,7008,P
31166,7181,B
31208,7188,P
31250,7188,I
31291,7182,B
31333,7183,B
31375,7181,B
31416,7188,P
31458,7180,B
31500,7186,B
31541,7183,B
31583,7190,P
31625,7188,B
31666,7186,B
31708,7184,B
31750,7183,P
31791,7425,B
31833,7427,P
31875,7425,I
31916,7432,B
31958,7430,B
32000,7429,P
32041,7427,B
32083,7434,B
32125,7433,B
32166,7430,P
32208,7428,B
32250,7427,B
32291,7434,P
32333,7432,B
32375,7431,P
32416,7688,B
32458,7689,P
32500,7688,I
32541,7696,B
32583,7692,P
32625,7692,B
32666,7690,B
32708,7697,P
32750,7695,B
32791,7693,P
32833,7691,B
32875,7690,P
32916,7697,B
32958,7694,B
33000,7694,B
33041,7992,P
33083,7993,P
33125,8000,I
33166,7992,B
33208,7996,B
33250,7995,B
33291,8001,P
33333,7999,B
33375,7998,B
33416,7996,B
33458,7995,P
33500,7993,B
33541,8000,B
33583,7998,B
33625,7996,P
33666,8191,B
33708,8191,P
33750,8199,I
33791,8191,B
33833,8195,B
33875,8192,B
33916,8192,P
33958,8198,B
34000,8197,B
34041,8196,B
34083,8193,P
34125,8192,B
34166,8198,B
34208,8197,B
34250,8195,P
34291,8353,B
34333,8359,P
34375,8358,I
34416,8356,B
34458,8354,B
34500,8361,B
34541,8359,P
34583,8358,B
34625,8356,B
34666,8355,B
34708,8361,P
34750,8359,B
34791,8357,B
34833,8356,B
34875,8363,P
34916,8490,B
34958,8490,P
35000,8493,I
35041,8491,B
35083,8498,B
35125,8490,B
35166,8494,P
35208,8492,B
35250,8491,B
35291,8497,B
35333,8495,P
35375,8495,B
35416,8492,B
35458,8498,B
35500,8497,P
35541,8651,B
35583,8653,P
35625,8661,I
35666,8659,B
35708,8657,B
35750,8655,B
35791,8653,P
35833,8659,B
35875,8658,B
35916,8657,B
35958,8654,P
36000,8653,B
36041,8659,B
36083,8658,B
36125,8656,P
36166,8808,B
36208,8812,P
36250,8809,I
36291,8809,B
36333,8815,B
36375,8814,B
36416,8807,P
36458,8810,B
36500,8809,B
36541,8815,B
36583,8813,P
36625,8813,B
36666,8810,B
36708,8808,B
36750,8815,P
36791,8928,B
36833,8931,P
36875,8929,I
36916,8936,B
36958,8934,B
37000,8934,B
37041,8931,P
37083,8930,B
37125,8936,B
37166,8934,B
37208,8933,P
37250,8932,B
37291,8929,B
37333,8935,B
37375,8935,P
37416,9064,B
37458,9064,P
37500,9064,I
37541,9066,B
37583,9069,B
37625,9068,B
37666,9065,P
37708,9072,B
37750,9071,B
37791,9069,B
37833,9067,P
37875,9066,B
37916,9072,B
37958,9071,B
38000,9070,P
38041,9228,B
38083,9233,P
38125,9233,I
38166,9230,B
38208,9237,B
38250,9235,B
38291,9234,P
38333,9232,B
38375,9230,B
38416,9237,B
38458,9234,P
38500,9233,B
38541,9232,B
38583,9238,B
38625,9237,P
38666,9365,B
38708,9368,P
38750,9366,I
38791,9373,B
38833,9372,B
38875,9371,B
38916,9368,P
38958,9366,B
39000,9374,B
39041,9371,B
39083,9369,P
39125,9369,B
39166,9374,B
39208,9372,B
39250,9372,P
39291,9502,B
39333,9502,P
39375,9503,I
39416,9502,B
39458,9506,B
39500,9502,B
39541,9503,P
39583,9509,B
39625,9508,B
39666,9507,B
39708,9504,P
39750,9503,B
39791,9509,B
39833,9507,B
39875,9506,P
39916,9640,B
39958,9640,P
40000,9645,I
40041,9642,B
40083,9640,B
40125,9641,B
40166,9646,P
40208,9639,B
40250,9643,B
40291,9641,B
40333,9647,P
40375,9647,B
40416,9644,B
40458,9642,B
40500,9641,P
40541,9800,B
40583,9805,P
40625,9804,I
40666,9800,B
40708,9800,B
40750,9800,B
40791,9806,P
40833,9799,B
40875,9802,B
40916,9809,B
40958,9806,P
41000,9806,B
41041,9803,B
41083,9801,B
41125,9808,P
41166,9938,B
41208,9939,P
41250,9939,I
41291,9938,B
41333,9944,B
41375,9939,B
41416,9940,P
41458,9937,B
41500,9945,B
41541,9944,B
41583,9942,P
41625,9940,B
41666,9946,B
41708,9944,B
41750,9944,P
41791,10059,B
41833,10067,P
41875,10067,I
41916,10060,B
