pts_sec latencyMs frameType
26.708 5703 B
26.75 5703 P
26.791 5878 B
26.833 5884 P
26.875 5879 I
26.916 5879 B
26.958 5886 B
27.0 5885 B
27.041 5877 P
27.083 5882 B
27.125 5879 B
27.166 5885 B
27.208 5884 P
27.25 5883 B
27.291 5882 B
27.333 5878 B
27.375 5886 P
27.416 6057 B
27.458 6057 P
27.5 6057 I
27.541 6063 B
27.583 6061 B
27.625 6059 B
27.666 6057 P
27.708 6065 B
27.75 6058 B
27.791 6061 B
27.833 6059 P
27.875 6057 B
27.916 6064 B
27.958 6062 B
28.0 6061 P
28.041 6217 B
28.083 6217 P
28.125 6225 I
28.166 6217 B
28.208 6221 B
28.25 6219 B
28.291 6226 P
28.333 6216 B
28.375 6222 B
28.416 6220 B
28.458 6218 P
28.5 6225 B
28.541 6223 B
28.583 6220 B
28.625 6221 P
28.666 6400 B
28.708 6409 P
28.75 6407 I
28.791 6405 B
28.833 6404 B
28.875 6402 B
28.916 6409 P
28.958 6407 B
29.0 6405 B
29.041 6403 B
29.083 6402 P
29.125 6409 B
29.166 6406 B
29.208 6405 B
29.25 6402 P
29.291 6602 B
29.333 6608 P
29.375 6606 I
29.416 6603 B
29.458 6601 B
29.5 6609 B
29.541 6607 P
29.583 6606 B
29.625 6604 B
29.666 6611 B
29.708 6609 P
29.75 6607 B
29.791 6605 B
29.833 6604 B
29.875 6610 P
29.916 6821 B
29.958 6822 P
30.0 6830 I
30.041 6827 B
30.083 6824 B
30.125 6824 B
30.166 6831 P
30.208 6829 B
30.25 6827 B
30.291 6825 B
30.333 6824 P
30.375 6831 B
30.416 6828 B
30.458 6827 B
30.5 6825 P
30.541 7003 B
30.583 7005 P
30.625 7003 I
30.666 7011 B
30.708 7008 B
30.75 7007 B
30.791 7005 P
30.833 7011 B
30.875 7010 B
30.916 7008 B
30.958 7006 P
31.0 7005 B
31.041 7012 B
31.083 7009 B
31.125 7008 P
31.166 7181 B
31.208 7188 P
31.25 7188 I
31.291 7182 B
31.333 7183 B
31.375 7181 B
31.416 7188 P
31.458 7180 B
31.5 7186 B
31.541 7183 B
31.583 7190 P
31.625 7188 B
31.666 7186 B
31.708 7184 B
31.75 7183 P
31.791 7425 B
31.833 7427 P
31.875 7425 I
31.916 7432 B
31.958 7430 B
32.0 7429 P
32.041 7427 B
32.083 7434 B
32.125 7433 B
32.166 7430 P
32.208 7428 B
32.25 7427 B
32.291 7434 P
32.333 7432 B
32.375 7431 P
32.416 7688 B
32.458 7689 P
32.5 7688 I
32.541 7696 B
32.583 7692 P
32.625 7692 B
32.666 7690 B
32.708 7697 P
32.75 7695 B
32.791 7693 P
32.833 7691 B
32.875 7690 P
32.916 7697 B
32.958 7694 B
33.0 7694 B
33.041 7992 P
33.083 7993 P
33.125 8000 I
33.166 7992 B
33.208 7996 B
33.25 7995 B
33.291 8001 P
33.333 7999 B
33.375 7998 B
33.416 7996 B
33.458 7995 P
33.5 7993 B
33.541 8000 B
33.583 7998 B
33.625 7996 P
33.666 8191 B
33.708 8191 P
33.75 8199 I
33.791 8191 B
33.833 8195 B
33.875 8192 B
33.916 8192 P
33.958 8198 B
34.0 8197 B
34.041 8196 B
34.083 8193 P
34.125 8192 B
34.166 8198 B
34.208 8197 B
34.25 8195 P
34.291 8353 B
34.333 8359 P
34.375 8358 I
34.416 8356 B
34.458 8354 B
34.5 8361 B
34.541 8359 P
34.583 8358 B
34.625 8356 B
34.666 8355 B
34.708 8361 P
34.75 8359 B
34.791 8357 B
34.833 8356 B
34.875 8363 P
34.916 8490 B
34.958 8490 P
35.0 8493 I
35.041 8491 B
35.083 8498 B
35.125 8490 B
35.166 8494 P
35.208 8492 B
35.25 8491 B
35.291 8497 B
35.333 8495 P
35.375 8495 B
35.416 8492 B
35.458 8498 B
35.5 8497 P
35.541 8651 B
35.583 8653 P
35.625 8661 I
35.666 8659 B
35.708 8657 B
35.75 8655 B
35.791 8653 P
35.833 8659 B
35.875 8658 B
35.916 8657 B
35.958 8654 P
36.0 8653 B
36.041 8659 B
36.083 8658 B
36.125 8656 P
36.166 8808 B
36.208 8812 P
36.25 8809 I
36.291 8809 B
36.333 8815 B
36.375 8814 B
36.416 8807 P
36.458 8810 B
36.5 8809 B
36.541 8815 B
36.583 8813 P
36.625 8813 B
36.666 8810 B
36.708 8808 B
36.75 8815 P
36.791 8928 B
36.833 8931 P
36.875 8929 I
36.916 8936 B
36.958 8934 B
37.0 8934 B
37.041 8931 P
37.083 8930 B
37.125 8936 B
37.166 8934 B
37.208 8933 P
37.25 8932 B
37.291 8929 B
37.333 8935 B
37.375 8935 P
37.416 9064 B
37.458 9064 P
37.5 9064 I
37.541 9066 B
37.583 9069 B
37.625 9068 B
37.666 9065 P
37.708 9072 B
37.75 9071 B
37.791 9069 B
37.833 9067 P
37.875 9066 B
37.916 9072 B
37.958 9071 B
38.0 9070 P
38.041 9228 B
38.083 9233 P
38.125 9233 I
38.166 9230 B
38.208 9237 B
38.25 9235 B
38.291 9234 P
38.333 9232 B
38.375 9230 B
38.416 9237 B
38.458 9234 P
38.5 9233 B
38.541 9232 B
38.583 9238 B
38.625 9237 P
38.666 9365 B
38.708 9368 P
38.75 9366 I
38.791 9373 B
38.833 9372 B
38.875 9371 B
38.916 9368 P
38.958 9366 B
39.0 9374 B
39.041 9371 B
39.083 9369 P
39.125 9369 B
39.166 9374 B
39.208 9372 B
39.25 9372 P
39.291 9502 B
39.333 9502 P
39.375 9503 I
39.416 9502 B
39.458 9506 B
39.5 9502 B
39.541 9503 P
39.583 9509 B
39.625 9508 B
39.666 9507 B
39.708 9504 P
39.75 9503 B
39.791 9509 B
39.833 9507 B
39.875 9506 P
39.916 9640 B
39.958 9640 P
40.0 9645 I
40.041 9642 B
40.083 9640 B
40.125 9641 B
40.166 9646 P
40.208 9639 B
40.25 9643 B
40.291 9641 B
40.333 9647 P
40.375 9647 B
40.416 9644 B
40.458 9642 B
40.5 9641 P
40.541 9800 B
40.583 9805 P
40.625 9804 I
40.666 9800 B
40.708 9800 B
40.75 9800 B
40.791 9806 P
40.833 9799 B
40.875 9802 B
40.916 9809 B
40.958 9806 P
41.0 9806 B
41.041 9803 B
41.083 9801 B
41.125 9808 P
41.166 9938 B
41.208 9939 P
41.25 9939 I
41.291 9938 B
41.333 9944 B
41.375 9939 B
41.416 9940 P
41.458 9937 B
41.5 9945 B
41.541 9944 B
41.583 9942 P
41.625 9940 B
41.666 9946 B
41.708 9944 B
41.75 9944 P
41.791 10059 B
41.833 10067 P
41.875 10067 I
41.916 10060 B
41.958 10062 B
42.0 10060 B
42.041 10068 P
42.083 10066 B
42.125 10065 B
42.166 10062 B
42.208 10061 P
42.25 10067 B
42.291 10065 B
42.333 10064 B
42.375 10063 P
42.416 10178 B
42.458 10187 P
42.5 10185 I
42.541 10183 B
42.583 10181 B
42.625 10181 B
42.666 10186 P
42.708 10184 B
42.75 10183 B
42.791 10180 B
42.833 10179 P
42.875 10178 B
42.916 10184 B
42.958 10183 B
43.0 10182 P
43.041 10317 B
43.083 10321 P
43.125 10320 I
43.166 10318 B
43.208 10324 B
43.25 10323 B
43.291 10322 P
43.333 10319 B
43.375 10318 B
43.416 10325 B
43.458 10323 P
43.5 10321 B
43.541 10319 B
43.583 10318 B
43.625 10324 P
43.666 10454 B
43.708 10457 P
43.75 10455 I
43.791 10462 B
43.833 10459 B
43.875 10458 B
43.916 10456 P
43.958 10462 B
44.0 10461 B
44.041 10459 B
44.083 10458 P
44.125 10456 B
44.166 10463 B
44.208 10460 B
44.25 10460 P
44.291 10653 B
44.333 10655 P
44.375 10654 I
44.416 10654 B
44.458 10659 B
44.5 10653 B
44.541 10655 P
44.583 10662 B
44.625 10661 B
44.666 10658 B
44.708 10657 P
44.75 10655 B
44.791 10661 B
44.833 10660 B
44.875 10658 P
44.916 10773 B
44.958 10775 P
45.0 10781 I
45.041 10779 B
45.083 10777 B
45.125 10776 B
45.166 10775 P
45.208 10781 B
45.25 10779 B
45.291 10778 B
45.333 10775 P
45.375 10775 B
45.416 10780 B
45.458 10779 B
45.5 10777 P
45.541 10910 B
45.583 10911 P
45.625 10911 I
45.666 10915 B
45.708 10910 B
45.75 10920 B
45.791 10910 P
45.833 10915 B
45.875 10914 B
45.916 10913 B
45.958 10915 P
46.0 10912 B
46.041 10911 B
46.083 10913 B
46.125 10911 P
46.166 10973 B
46.208 10980 P
46.25 10975 I
46.291 10977 B
46.333 10975 B
46.375 10974 B
46.416 10980 P
46.458 10978 B
46.5 10977 B
46.541 10975 B
46.583 10982 P
46.625 10981 B
46.666 10978 B
46.708 10977 B
46.75 10976 P
46.791 11154 B
46.833 11155 P
46.875 11154 I
46.916 11160 B
46.958 11158 B
47.0 11157 B
47.041 11155 P
47.083 11162 B
47.125 11160 B
47.166 11159 B
47.208 11157 P
47.25 11155 B
47.291 11162 B
47.333 11160 B
47.375 11159 P
47.416 11232 B
47.458 11234 P
47.5 11233 I
47.541 11240 P
47.583 11237 B
47.625 11237 B
47.666 11371 B
47.708 11370 P
47.75 11371 P
47.791 11371 B
47.833 11371 B
47.875 11378 B
47.916 11377 P
47.958 11375 B
48.0 11374 B
48.041 11596 B
48.083 11602 P
48.125 11595 I
48.166 11597 B
48.208 11596 B
48.25 11603 B
48.291 11596 P
48.333 11600 B
48.375 11598 B
48.416 11605 B
48.458 11602 P
48.5 11601 B
48.541 11600 B
48.583 11598 B
48.625 11604 P
48.666 11798 B
48.708 11801 P
48.75 11799 I
48.791 11805 B
48.833 11803 B
48.875 11802 B
48.916 11800 P
48.958 11798 B
49.0 11805 B
49.041 11804 B
49.083 11801 P
49.125 11800 B
49.166 11806 B
49.208 11804 B
49.25 11804 P
49.291 12040 B
49.333 12046 P
49.375 12047 I
49.416 12044 B
49.458 12042 B
49.5 12041 B
49.541 12047 P
49.583 12045 B
49.625 12044 B
49.666 12042 B
49.708 12049 P
49.75 12048 B
49.791 12045 B
49.833 12044 B
49.875 12042 P
49.916 12216 B
49.958 12217 P
50.0 12220 I
50.041 12218 B
50.083 12216 B
50.125 12224 B
50.166 12217 P
50.208 12220 B
50.25 12219 B
50.291 12225 B
50.333 12223 P
50.375 12223 B
50.416 12220 B
50.458 12218 B
50.5 12216 P
50.541 12379 B
50.583 12381 P
50.625 12389 I
50.666 12387 B
50.708 12385 B
50.75 12384 B
50.791 12381 P
50.833 12387 B
50.875 12386 B
50.916 12384 B
50.958 12382 P
51.0 12381 B
51.041 12388 B
51.083 12385 B
51.125 12384 P
51.166 12539 P
51.208 12539 P
51.25 12547 I
51.291 12545 P
51.333 12543 P
