at,payloadSizeBytes,frameType
24938,964,B
24948,778,B
24960,679,B
25008,4451,P
25026,1109,B
25033,802,B
25073,754,B
25148,3965,P
25156,695,B
25426,22540,I
25460,2953,P
25471,997,B
25483,818,B
25493,669,B
25540,4358,P
25554,1057,B
25565,861,B
25576,719,B
25619,3873,P
25634,1085,B
25657,860,B
25700,728,B
25772,3732,P
25783,894,B
26053,22986,I
26072,1699,P
26086,1029,B
26096,731,B
26105,662,B
26145,3501,P
26157,986,B
26170,841,B
26180,695,B
26233,4553,P
26247,1123,B
26285,929,B
26320,795,B
26389,3332,P
26409,873,B
26675,22494,I
26711,3225,P
26725,1062,B
26736,791,B
26745,775,B
26800,4772,P
26816,1365,B
26828,782,B
26838,749,B
26896,5229,P
26911,1238,B
26924,765,B
26948,702,B
27009,2962,P
27034,921,B
27313,23488,I
27345,2873,P
27357,1001,B
27366,680,B
27441,6972,P
27459,1269,B
27469,831,B
27481,841,B
27539,5444,P
27554,1080,B
27566,813,B
27607,3768,P
27618,677,B
27664,4238,P
27673,657,B
27905,20751,I
27930,2209,P
27938,549,B
27988,4630,P
28000,866,B
28010,671,B
28050,3529,P
28060,698,B
28103,3863,P
28112,622,B
28177,5914,P
28190,1013,B
28201,725,B
28240,746,B
28297,2146,P
28556,23028,I
28591,3254,P
28601,693,B
28610,680,B
28619,607,B
28675,4990,P
28686,744,B
28695,655,B
28703,618,B
28763,5486,P
28778,1024,B
28789,819,B
28844,738,B
28890,3386,P
28905,639,B
29179,22685,I
29203,2093,P
29214,889,B
29222,545,B
29231,671,B
29285,4803,P
29297,932,B
29307,753,B
29317,672,B
29362,4015,P
29376,1078,B
29408,886,B
29446,785,B
29514,2942,P
29532,807,B
29811,23455,I
29831,1742,P
29843,853,B
29853,659,B
29862,680,B
29899,3367,P
29913,1001,B
29924,778,B
29934,680,B
29981,4260,P
29995,1040,B
30030,842,B
30074,655,B
30147,2799,P
30157,768,B
30418,22069,I
30444,2226,P
30456,817,B
30466,720,B
30475,599,B
30512,3468,P
30526,921,B
30536,775,B
30545,608,B
30604,4042,P
30616,850,B
30658,890,B
30697,684,B
30779,4389,P
30789,801,B
31055,22780,I
31078,2165,P
31091,850,B
31101,683,B
31110,659,B
31152,3745,P
31164,1001,B
31175,824,B
31188,683,B
31234,4070,P
31249,1159,B
31283,865,B
31322,769,B
31388,2846,P
31408,764,B
31676,22621,I
31701,2213,P
31713,801,B
31723,656,B
31732,646,B
31776,3915,P
31788,997,B
31799,780,B
31808,658,B
31858,3929,P
31870,936,B
31908,849,B
31948,688,B
32013,2958,P
32033,705,B
32293,21620,I
32317,2118,P
32328,781,B
32336,598,B
32345,590,B
32388,3787,P
32399,948,B
32410,727,B
32420,685,B
32484,4108,P
32497,993,B
32534,855,B
32572,596,B
32640,3018,P
32658,733,B
32930,22820,I
32951,1860,P
32963,819,B
32972,616,B
32981,619,B
33017,3225,P
33028,912,B
33038,740,B
33047,526,B
33112,4355,P
33123,929,B
33159,827,B
33199,659,B
33274,4016,P
33283,714,B
33554,22665,I
33578,2150,P
33589,814,B
33598,669,B
33607,626,B
33649,3676,P
33660,913,B
33672,776,B
33681,616,B
33734,4104,P
33747,966,B
33782,770,B
33821,574,B
33887,2863,P
33908,767,B
34175,22340,I
34200,2246,P
34213,860,B
34222,650,B
34230,598,B
34273,3769,P
34286,1052,B
34298,749,B
34308,655,B
34356,3740,P
34371,1235,B
34408,888,B
34449,745,B
34518,3348,P
34531,787,B
34801,22395,I
34821,1843,P
34834,839,B
34843,619,B
34851,526,B
34893,3886,P
34907,887,B
34916,702,B
34925,593,B
34981,3925,P
34994,913,B
35031,690,B
35072,595,B
35141,3135,P
35157,700,B
35437,23015,I
35461,1992,P
35471,893,B
35481,596,B
35489,557,B
35523,2947,P
35536,929,B
35546,695,B
35555,653,B
35609,4101,P
35619,836,B
35658,756,B
35698,604,B
35776,4131,P
35787,786,B
36065,23829,I
36085,1680,P
36096,836,B
36105,613,B
36114,593,B
36159,3958,P
36169,788,B
36179,679,B
36188,610,B
36236,4402,P
36249,873,B
36283,783,B
36323,667,B
36386,2748,P
36407,788,B
36681,22920,I
36705,2058,P
36715,748,B
36724,635,B
36732,539,B
36767,3031,P
36779,998,B
36790,687,B
36801,722,B
36858,3857,P
36868,982,B
36903,768,B
36950,722,B
37018,3409,P
37033,787,B
37357,22568,I
37389,2149,P
37404,814,B
37416,624,B
37427,563,B
37486,4045,P
37499,820,B
37511,642,B
37523,637,B
37582,3964,P
37598,858,B
37610,649,B
37622,609,B
37666,2841,P
37678,725,B
38005,22454,I
38032,1887,P
38043,535,B
38055,586,B
38065,497,B
38108,2915,P
38124,866,B
38135,679,B
38146,646,B
38203,3719,P
38217,787,B
38231,701,B
38241,607,B
38302,4069,P
38316,715,B
38649,23645,I
38677,1897,P
38689,658,B
38701,565,B
38710,488,B
38762,3568,P
38776,779,B
38786,528,B
38796,550,B
38854,3823,P
38870,906,B
38881,640,B
38894,570,B
38939,3021,P
38952,654,B
39315,23691,I
39347,2225,P
39348,1004,B
39366,615,B
39381,618,B
39434,4133,P
39453,1228,B
39469,828,B
39486,777,B
39537,3784,P
39555,1313,B
39571,873,B
39571,786,B
39620,3553,P
39633,871,B
39997,23759,I
40029,2370,P
40046,935,B
40046,718,B
40063,620,B
40096,3147,P
40112,978,B
40129,712,B
40129,561,B
40201,3793,P
40201,858,B
40218,634,B
40235,519,B
40271,3707,P
40284,798,B
40611,21975,I
40646,2288,P
40665,827,B
40683,652,B
40684,577,B
40733,2891,P
40733,718,B
40749,657,B
40749,615,B
40799,3367,P
40818,800,B
40818,709,B
40837,567,B
40906,4446,P
40909,568,B
41250,22556,I
41265,1972,P
41282,867,B
41300,555,B
41300,631,B
41334,2728,P
41354,738,B
41372,580,B
41372,547,B
41421,3528,P
41437,687,B
41437,676,B
41444,530,B
41496,3042,P
41515,573,B
41820,21189,I
41837,1903,P
41855,727,B
41855,492,B
41877,613,B
41926,3385,P
41943,1507,B
41960,809,B
41977,1015,B
42048,4767,P
42065,1357,B
42081,1163,B
42098,727,B
42148,3677,P
42148,712,B
42492,22763,I
42510,1794,P
42526,605,B
42526,451,B
42543,417,B
42579,2611,P
42597,771,B
42597,520,B
42614,504,B
42665,4464,P
42683,759,B
42691,536,B
42691,453,B
42727,1952,P
42730,463,B
43073,22356,I
43090,1215,P
43108,2070,P
43124,933,B
43141,514,B
43141,517,B
43399,17927,P
43434,2220,P
43452,698,B
43452,442,B
43469,387,B
43518,3765,P
43537,967,B
43537,592,B
43552,660,B
43897,23097,I
43934,2498,P
43950,1092,B
43950,856,B
43968,774,B
44002,2710,P
44033,1298,B
44033,839,B
44051,857,B
44105,3577,P
44121,1115,B
44139,876,B
44155,760,B
44205,3931,P
44223,866,B
44568,23516,I
44603,2861,P
44620,1281,B
44637,787,B
44655,833,B
44706,4108,P
44722,1278,B
44740,955,B
44756,893,B
44827,4291,P
44844,1603,B
44860,1127,B
44877,1189,B
44946,3996,P
44946,1095,B
45306,23728,I
45342,3264,P
45376,1304,B
45376,918,B
45393,814,B
45444,3740,P
45462,1018,B
45478,919,B
45496,713,B
45547,3640,P
45566,852,B
45566,816,B
45582,702,B
45634,3260,P
45635,611,B
45995,23839,I
46030,2316,P
46030,826,B
46047,779,B
46064,626,B
46133,4788,P
46133,768,B
46150,851,B
46167,654,B
46218,3715,P
46235,950,B
46236,868,B
46253,770,B
46287,2790,P
46303,819,B
46648,23733,I
46683,1758,P
46698,723,B
46699,596,B
46715,553,B
46770,3889,P
46787,769,B
46787,598,B
46803,572,B
46871,4859,P
46871,724,B
46888,737,B
46907,472,B
46942,2923,P
46959,1370,P
47301,22897,I
47318,1193,P
47352,2799,P
47386,1978,P
47423,1918,P
47439,1462,P
47457,1254,P
47474,1477,P
47508,1620,P
47526,1386,P
47542,1846,P
47576,1570,P
47611,3008,P
47679,3907,P
47730,3426,P
48074,23392,I
48110,2804,P
48127,967,B
48127,533,B
48145,584,B
48178,2619,P
48212,2554,P
48263,3549,P
48281,690,B
48316,2547,P
48350,1827,P
48367,1729,P
48385,1396,P
48417,2322,P
48435,457,B
48779,23710,I
48798,1050,P
48832,2050,P
48849,1857,P
48866,437,B
48899,3158,P
48917,705,B
48933,529,B
48934,372,B
48987,3138,P
48987,950,B
49005,548,B
49005,558,B
49054,3359,P
49071,863,B
49417,23624,I
49466,3160,P
49481,868,B
49482,668,B
49498,461,B
49572,5169,P
49589,650,B
49589,485,B
49589,382,B
49654,4282,P
49671,631,B
49671,494,B
49671,359,B
49743,3784,P
49776,2949,P
50121,22588,I
50137,1416,P
50153,1124,P
50187,2197,P
50204,1972,P
50243,1938,P
50260,1377,P
50292,2681,P
50325,1790,P
50359,2029,P
50376,1349,P
50396,1465,P
50450,3030,P
50498,3414,P
50531,2373,P
50861,22766,I
50893,1977,P
50926,2349,P
50968,2386,P
51001,2189,P
51034,2348,P
51067,2118,P
51116,3595,P
51131,1493,B
51158,823,B
51158,706,B
51240,5049,P
51256,1394,B
51272,770,B
51272,737,B
51601,22121,I
51651,3748,P
51666,897,B
51683,690,B
51683,666,B
51771,5826,P
51788,1150,B
51804,766,B
51821,649,B
51838,2055,P
51911,4375,P
51927,1242,B
51943,804,B
51960,696,B
51993,3334,P
52442,23185,I
52492,2128,P
52542,2645,P
52653,4156,P
52676,985,B
52776,4749,P
52803,1653,B
52827,1041,B
52859,863,B
52935,4011,P
52960,984,B
53242,13054,P
53267,242,B
53292,1595,B
53292,153,B
53527,10964,I
53602,3013,P
53685,3492,P
53760,3230,P
53810,2827,P
53887,2844,P
53887,419,B
53887,287,B
53914,199,B
54018,5524,P
54043,497,B
54043,234,B
54169,6133,P
54199,517,B
54226,1606,P
54686,21514,I
54742,1379,P
54742,584,P
54742,460,P
54767,1148,P
54792,573,P
54792,428,P
54817,432,P
54817,530,P
54843,556,P
54843,554,P
54868,739,P
54917,2615,P
54971,2693,P
55051,2426,P
55514,21301,I
55568,2385,P
55591,1812,P
55640,1615,P
55666,1509,P
55770,4097,P
55797,1206,B
55798,667,B
55827,722,B
55900,3298,P
55926,1010,B
55926,811,B
56000,3124,P
56080,3532,P
56133,2272,P
56596,21254,I
56648,2057,P
56699,1978,P
56724,2181,P
56775,1991,P
56827,2039,P
56882,1956,P
56907,2062,P
56957,1863,P
56981,1563,P
57031,1562,P
57085,2152,P
57164,3625,P
57240,3537,P
57290,2785,P
57780,22012,I
57831,2345,P
57884,2117,P
57911,2064,P
57963,1930,P
58014,1894,P
58041,1847,P
58091,2399,P
58142,1912,P
58168,1307,P
58194,1327,P
58247,1416,P
58324,3641,P
58401,3448,P
58452,2501,P
58915,21076,I
58993,3285,P
58993,501,B
58993,308,B
59098,3766,P
59098,590,B
59098,378,B
59130,230,B
59205,3894,P
59230,665,B
59230,459,B
59230,322,B
59335,3901,P
59335,593,B
59359,434,B
59839,22328,I
59900,3234,P
59975,3075,P
59999,594,B
59999,391,B
60131,5507,P
60131,866,B
60158,575,B
60158,475,B
60233,2651,P
60234,754,B
60257,521,B
60307,2291,P
60307,692,B
60333,509,B
60666,15765,I
60924,11580,P
60924,204,B
61010,2947,P
61035,894,B
61036,403,B
61036,372,B
61084,2433,P
61158,2387,P
61183,2106,P
61232,2283,P
61294,2005,P
61343,2300,P
61418,3426,P
61442,1484,P
61834,17121,I
61886,2458,P
61886,589,B
61912,417,B
61912,444,B
61985,2666,P
62034,2959,P
62087,2505,P
62170,3412,P
62195,1173,B
62220,538,B
62220,758,B
62294,3221,P
62370,2789,P
62370,705,B
62837,20771,I
62885,2395,P
62936,2262,P
62996,2085,P
63047,3301,P
63119,2610,P
63194,3462,P
63219,1037,B
63219,668,B
63254,656,B
63305,2732,P
63328,823,B
63328,598,B
63353,496,B
63403,2192,P
63846,20717,I
63896,1864,P
63947,1744,P
63971,1868,P
64019,2122,P
64104,3280,P
64129,896,B
64154,2031,P
64228,2548,P
64280,2597,P
64334,2375,P
64387,2102,P
64461,3751,P
64536,3733,P
64620,3429,P
65102,21880,I
65161,2767,P
65210,2534,P
65260,2478,P
65311,2152,P
65360,2261,P
65418,1942,P
65471,2380,P
65520,2094,P
65543,1796,P
65592,2538,P
65619,892,B
65644,612,B
65645,485,B
65728,2741,P
65929,9607,I
66320,18513,P
66345,222,B
66345,188,B
66345,173,B
66395,2833,P
66421,453,B
66421,350,B
66421,178,B
66500,3311,P
66526,659,B
66526,459,B
66553,295,B
66554,725,P
66554,264,B
67068,23409,I
67094,981,P
67094,272,B
67120,182,B
67294,5410,P
67343,500,B
67344,413,B
67344,315,B
67665,6572,P
67717,1032,B
67766,700,B
67766,486,B
67912,3597,P
67963,772,B
67963,521,B
68954,21856,I
69052,3070,P
69100,787,B
69150,589,B
69150,360,B
69428,5604,P
69477,1091,B
69477,723,B
69533,535,B
69779,5919,P
69828,1030,B
69828,638,B
69877,705,B
70101,4798,P
70151,1092,B
71111,22455,I
71283,2968,P
71331,1161,B
71331,608,B
71383,721,B
71530,2900,P
71679,3760,P
71733,1298,B
71799,827,B
71799,1010,B
72049,5052,P
72148,2012,B
72196,1346,B
72247,1139,B
72364,2691,P
73283,20640,I
73443,3635,P
73502,1526,B
73603,2321,P
73754,3588,P
73803,1392,B
73852,724,B
73901,1101,B
74069,3593,P
74122,1592,B
74170,948,B
74220,1049,B
74419,4322,P
74520,1950,B
74573,1185,B
75355,18058,I
75553,4253,P
75603,1480,B
75652,780,B
75652,757,B
75872,3880,P
75922,1410,B
75922,751,B
75971,853,B
76120,3303,P
76338,4202,P
76438,2229,B
76489,2079,B
76636,3622,P
76734,1988,B
77473,16504,I
77673,4599,P
77770,1591,B
77820,1153,B
77925,2718,P
78039,2380,P
78139,2686,P
78289,3629,P
78337,1153,B
78390,657,B
78441,708,B
78553,2358,P
78603,2138,P
78758,2724,P
78806,1722,P
79642,17859,I
79795,4330,P
79897,1658,B
79947,935,B
79947,987,B
80093,2470,P
80192,2446,P
80291,2332,P
80415,3294,P
80464,746,B
80514,860,B
80661,4038,P
80760,1864,B
80809,1118,B
80859,931,B
81548,16091,I
81795,4852,P
81845,1397,B
81999,3771,P
82164,4240,P
82238,4310,P
82340,4195,P
82444,4566,P
82519,4096,P
82628,3714,P
82728,5301,P
82778,2032,B
82802,1560,B
82886,2880,P
82937,2342,P
83169,11104,I
83452,12141,P
83452,165,B
83452,899,B
83479,227,B
83528,3243,P
83553,331,B
83554,315,B
83554,161,B
83628,3496,P
83710,3094,P
83785,3335,P
83785,455,B
83811,393,B
83811,163,B
84327,23523,I
84352,1882,P
84376,423,B
84376,329,B
84376,234,B
84534,6453,P
84534,496,B
84559,400,B
84559,293,B
84712,7255,P
84740,612,B
84741,485,B
84741,266,B
84792,2373,P
84816,517,B
85332,23552,I
85408,3346,P
85408,457,B
85486,3310,P
85542,2753,P
85566,1233,P
85591,508,B
85591,296,B
85617,336,B
85640,1420,P
85641,525,B
85665,317,B
85665,298,B
85716,2700,P
85744,1233,P
86030,12179,I
86340,14714,P
86341,156,B
86341,153,B
86364,157,B
86414,2582,P
86415,342,B
86415,241,B
86439,170,B
86490,2732,P
86490,363,B
86518,293,B
86518,162,B
86622,5392,P
86648,374,B
87113,21916,I
87138,1264,P
87163,286,B
87163,193,B
87163,164,B
87319,7251,P
87347,450,B
87348,388,B
87348,172,B
87546,9151,P
87547,555,B
87573,382,B
87574,245,B
87681,4633,P
87681,474,B
88168,22265,I
88245,3399,P
88271,376,B
88271,179,B
88427,6993,P
88427,468,B
88454,377,B
88455,174,B
88554,4894,P
88554,528,B
88581,407,B
88581,206,B
88630,2794,P
88660,401,B
88660,343,B
89122,21476,I
89146,885,P
89147,248,B
89170,763,P
89171,454,P
89195,418,P
89195,351,P
89195,322,P
89435,9643,P
89436,167,B
89514,3428,P
89514,712,B
89542,379,B
89542,379,B
89591,1818,P
89974,18287,I
90049,3440,P
90074,1220,B
90097,617,B
90128,794,B
90158,1844,P
90182,657,B
90183,412,B
90232,1613,P
90257,1609,P
90281,1706,P
90332,1889,P
90383,2426,P
90441,2726,P
90517,2654,P
90849,15017,I
90899,3391,P
91009,3853,P
91109,4647,P
91133,1446,B
91208,3569,P
91292,3561,P
91366,3492,P
91440,3445,P
91523,3432,P
91600,3620,P
91675,3445,P
91749,3329,P
91833,3386,P
91906,3583,P
92216,14014,I
92295,3781,P
92372,3690,P
92447,3376,P
92522,3038,P
92607,3550,P
92630,1497,B
92655,740,B
92655,651,B
92731,2928,P
92781,2932,P
92864,2812,P
92914,2762,P
93122,9216,P
93146,611,B
93429,12826,I
93478,2453,P
93506,1163,B
93506,657,B
93530,621,B
93610,4282,P
93662,1782,B
93687,1024,B
93712,1065,B
93812,4795,P
93842,1585,B
93868,1094,B
93895,875,B
93993,4733,P
94020,1291,B
94562,24809,I
94641,3401,P
94694,1607,B
94720,1121,B
94744,1146,B
94818,3439,P
94844,1604,B
94868,1177,B
94899,1324,B
95001,4570,P
95052,1674,B
95077,1439,B
95101,1316,B
95185,3960,P
95236,1465,B
95751,24532,I
95853,3644,P
95878,1576,B
95901,1308,B
95929,1263,B
96034,3964,P
96063,1925,B
96087,1168,B
96112,1307,B
96213,4327,P
96261,1926,B
96293,1338,B
96319,1147,B
96396,3251,P
96421,1368,B
96936,23562,I
97011,3935,P
97061,1580,B
97085,1186,B
97118,1176,B
97179,4106,P
97212,1773,B
97229,1315,B
97246,1454,B
97317,4371,P
97349,2005,B
97367,1366,B
97383,1283,B
97432,3305,P
97448,1470,B
97776,22077,I
97850,4829,P
97882,1971,B
97899,1621,B
97916,1406,B
97985,4566,P
98022,1723,B
98037,1411,B
98053,1223,B
98121,4456,P
98157,1932,B
98176,1238,B
98193,1611,B
98243,3272,P
98260,1810,B
98586,21694,I
98652,4725,P
98693,1946,B
98709,1109,B
98726,1067,B
98774,4475,P
98808,1663,B
98825,1493,B
98897,3984,P
98914,1706,B
98929,1065,B
98946,910,B
98979,2788,P
98995,1371,B
99036,1314,B
99340,21808,I
99416,4544,P
99449,2040,B
99466,1219,B
99484,1125,B
99553,4666,P
99587,1992,B
99587,1084,B
99621,1240,B
99687,4869,P
99703,2013,B
99737,1323,B
99740,944,B
99793,3335,P
99842,2637,P
100097,17666,I
100154,3742,P
100171,1066,B
100187,977,B
100235,4236,P
100269,1437,B
100269,1014,B
100286,1126,B
100359,4597,P
100391,1692,B
100407,1079,B
100424,1210,B
100480,3673,P
100497,1290,B
100514,1278,B
100857,22752,I
100908,4247,P
100939,1857,B
100956,1043,B
100973,1153,B
101031,4212,P
101064,1599,B
101079,1165,B
101096,1106,B
101162,4821,P
101187,1708,B
101202,1224,B
101218,1183,B
101285,4406,P
101301,994,B
101644,23309,I
101719,4508,P
101734,1468,B
101751,1211,B
101767,951,B
101817,3811,P
101834,1222,B
101851,1014,B
101872,770,B
101923,3835,P
101940,1119,B
101956,927,B
101973,785,B
102021,3847,P
102045,823,B
102365,23307,I
102423,2941,P
102439,1108,B
102454,792,B
102455,765,B
102521,3809,P
102538,1033,B
102538,919,B
102559,759,B
102627,4733,P
102644,1361,B
102659,968,B
102675,1129,B
102732,3760,P
102767,1586,B
103070,20999,I
103128,3575,P
103145,1518,B
103161,936,B
103177,880,B
103227,4163,P
103244,1280,B
103259,743,B
103260,655,B
103333,4190,P
103349,1220,B
103367,822,B
103367,660,B
103433,4035,P
103452,750,B
103777,22414,I
103813,2651,P
103831,718,B
103831,496,B
103831,394,B
103899,4547,P
103916,558,B
103916,447,B
103916,254,B
103966,2695,P
104003,2518,P
104038,2127,P
104088,3717,P
104138,3677,P
104172,2330,P
104516,22882,I
104553,3116,P
104570,822,B
104587,654,B
104588,480,B
104670,5685,P
104689,838,B
104689,664,B
104706,599,B
104759,3896,P
104776,692,B
104810,2850,P
104826,538,B
104843,1862,P
104860,524,B
105188,22608,I
105238,3286,P
105238,447,B
105309,3996,P
105342,3179,P
105393,2580,P
105410,2183,P
105446,2169,P
105482,2202,P
105515,1810,P
105567,3343,P
105567,438,B
105567,372,B
105583,164,B
105600,1188,P
105909,21375,I
105959,3357,P
105959,418,B
105959,301,B
105960,154,B
106033,4151,P
106033,446,B
106049,370,B
106049,159,B
106099,3780,P
106116,518,B
106116,456,B
106116,220,B
106186,4551,P
106205,490,B
106509,21256,I
106565,3293,P
106565,548,B
106565,356,B
106632,3808,P
106682,4184,P
106698,1273,B
106718,771,B
106738,742,B
106804,4470,P
106820,1354,B
106820,903,B
106836,668,B
106887,3742,P
106908,613,B
107233,22428,I
107248,1529,P
107269,440,B
107269,304,B
107309,2577,P
107322,444,B
107355,2420,P
107371,2122,P
107420,2372,P
107459,2401,P
107477,2127,P
107511,2160,P
107594,5099,P
107594,838,B
107647,2629,P
107971,22628,I
108012,2640,P
108044,2103,P
108077,1819,P
108110,2307,P
108126,2108,P
108159,1892,P
108200,1858,P
108217,1787,P
108234,1060,P
108251,893,P
108267,1321,P
108267,359,B
108332,3770,P
108365,2564,P
108662,20446,I
108711,2802,P
108745,2299,P
108784,2403,P
108818,2575,P
108851,2496,P
108884,2512,P
108916,2563,P
108956,2192,P
109007,2556,P
109007,525,B
109007,450,B
109024,374,B
109088,4617,P
109089,472,B
109421,22107,I
109473,3516,P
109525,2978,P
109558,2944,P
109610,2877,P
109643,2605,P
109675,2487,P
109710,2609,P
109741,2526,P
109763,445,B
109763,367,B
109763,180,B
109780,840,P
109780,274,B
109798,229,B
110103,22238,I
110156,2966,P
110157,501,B
