at_sec latencyMs frameType
0.000 296 B
1.021 483 B
2.021 483 P
3.013 476 P
4.021 483 I
5.017 479 B
6.021 483 B
7.021 483 P
8.013 476 B
9.021 483 I
10.013 475 P
11.021 483 P
12.020 482 P
13.022 484 B
14.020 483 I
15.017 479 P
16.015 477 B
17.029 491 P
18.028 491 B
19.030 492 I
20.029 491 B
21.030 492 B
22.037 500 P
23.034 496 B
24.045 507 I
25.001 505 P
26.045 508 B
27.045 507 P
28.045 507 B
29.005 509 P
30.001 505 P
31.025 570 B
32.021 607 B
33.021 649 B
34.021 649 B
35.014 725 B
36.030 1240 I
37.027 1237 B
38.029 1240 B
39.005 1215 P
40.036 1204 B
41.033 1201 B
42.077 1204 B
43.037 1204 P
44.074 1200 P
45.013 1265 B
46.037 1704 B
47.017 2060 P
48.028 2488 B
49.083 3126 P
50.345 3762 B
51.299 4091 P
52.296 4464 P
53.014 4598 B
54.271 5188 P
55.014 5348 B
56.007 5799 P
57.037 6497 P
58.132 7258 P
59.469 7886 B
60.029 7905 P
61.119 8953 B
62.013 9514 B
63.648 10857 P
64.045 11004 P
66.054 12721 P
66.099 12725 P
68.630 14756 P
68.677 14761 P
69.013 14764 B
70.850 16226 P
71.152 16403 P
72.056 16932 P
73.477 18228 P
74.559 19018 B
75.545 19587 B
76.005 19589 B
77.282 20074 P
78.115 20407 P
79.149 20650 P
80.077 20786 P
81.006 21047 B
82.014 21348 B
83.187 22063 P
84.022 22273 B
85.013 22555 P
86.014 22931 B
87.029 23155 P
88.035 23452 B
89.005 23714 P
90.037 24038 P
91.013 24305 P
92.021 24480 P
93.085 24669 P
94.050 24551 P
95.070 24486 P
96.068 24444 P
97.020 24437 P
98.149 24441 P
99.109 24443 P
100.149 24441 P
101.020 24437 P
102.021 24438 P
103.028 24445 P
104.020 24437 P
105.165 24582 P
106.005 24506 P
107.005 24506 P
108.004 24505 P
109.124 24500 P
110.084 24502 P
111.044 24503 P
112.003 24504 P
113.002 24503 P
114.085 24502 P
115.084 24501 P
116.081 24498 P
117.080 24497 P
118.005 24506 P
119.040 24499 P
120.080 24497 P
121.042 24501 P
122.000 24502 P
123.003 24504 P
124.081 24498 P
125.042 24501 P
126.003 24505 P
127.044 24503 P
128.003 24505 P
129.005 24507 P
130.045 24504 P
131.045 24504 P
132.081 24498 P
133.004 24505 P
134.124 24500 P
