at_sec latencyMs frameType
0.000 173 B
1.028 326 P
2.027 325 B
3.028 326 B
4.037 335 B
5.035 333 B
6.043 341 P
7.040 338 B
8.038 336 B
9.040 337 B
10.044 342 P
11.045 343 B
12.035 333 B
13.039 337 B
14.039 336 P
15.040 338 B
16.004 385 B
17.000 381 P
18.004 385 B
19.003 384 P
20.045 385 B
21.041 380 B
22.003 384 P
23.042 382 B
24.004 385 P
25.032 372 B
26.027 367 P
27.004 385 B
28.003 384 P
29.044 384 I
30.004 385 P
31.194 617 P
32.033 623 B
33.034 749 B
34.031 786 B
35.112 910 B
36.035 1000 B
37.011 1017 P
38.012 1143 B
39.045 1176 B
40.004 1260 B
41.004 1302 B
42.036 1376 B
43.012 1435 P
44.018 1691 P
45.020 1693 B
46.035 1916 B
47.027 2325 B
48.029 2910 B
49.019 3442 B
50.036 3876 I
51.020 4235 I
52.171 4844 B
53.148 5196 B
54.232 5738 B
55.474 6355 B
56.019 6359 B
57.120 6835 B
58.021 7319 B
59.031 7621 B
60.540 8505 P
61.004 8802 P
62.006 9680 B
63.226 10399 B
64.213 11261 B
65.296 11886 B
66.030 12495 P
67.102 13317 B
68.443 14283 B
69.364 15079 I
70.920 16093 B
71.012 16102 I
73.088 17719 B
73.132 17722 P
74.476 18524 B
75.122 19045 B
76.002 19300 B
77.020 19610 I
78.035 19750 B
79.036 20126 P
80.012 20518 B
81.003 20718 B
82.005 21221 P
83.028 21743 P
84.035 22041 B
85.020 22193 P
86.034 22540 B
87.118 23041 P
88.020 23360 B
89.016 23772 P
90.020 24026 P
91.020 24276 P
92.003 24384 P
93.028 24493 P
94.010 24642 P
95.005 24761 P
96.028 24826 B
97.024 25030 B
98.028 25201 B
99.052 25475 B
100.003 25594 P
101.020 25776 P
102.057 25980 P
103.038 25961 B
104.140 26189 P
105.016 26231 B
106.015 26230 B
107.019 26235 P
108.011 26226 I
109.018 26234 B
110.011 26226 B
111.014 26230 B
112.020 26235 P
113.014 26229 I
114.020 26235 B
115.014 26229 B
116.020 26235 P
117.014 26229 P
118.015 26230 I
119.012 26227 B
120.017 26232 P
121.018 26233 P
122.018 26233 B
123.020 26235 I
124.020 26236 B
125.011 26226 P
126.014 26229 P
127.017 26232 B
128.019 26234 I
129.018 26233 P
130.020 26235 B
131.020 26235 P
132.011 26227 P
133.020 26235 I
134.011 26227 B
135.012 26227 B
