at_sec latencyMs frameType
0.000 172 P
1.111 700 P
2.038 919 P
3.135 724 I
4.371 1210 B
5.012 1226 P
6.006 345 P
7.037 418 P
8.023 404 P
9.024 405 P
10.022 403 B
11.152 699 P
12.010 1099 P
13.226 1231 P
14.119 875 B
15.030 1078 P
16.015 395 B
17.020 401 P
18.022 403 B
19.024 405 P
20.022 403 P
21.044 592 B
22.031 870 I
23.197 1285 B
24.461 1300 B
25.016 1230 B
26.023 403 B
27.047 427 B
28.043 424 B
29.000 422 B
