at,payloadSizeBytes,frameType
3620,3211,P
3649,511,B
3688,289,B
3725,234,B
3794,4173,P
3815,622,B
3852,512,B
3894,270,B
3962,4142,P
3982,557,B
4174,22256,I
4200,3525,P
4207,629,B
4212,498,B
4217,281,B
4265,5317,P
4275,980,B
4317,699,B
4355,459,B
4440,6621,P
4450,1224,B
4485,983,B
4522,620,B
4579,2628,P
4606,851,B
4800,22340,I
4817,2255,P
4824,679,B
4828,467,B
4833,405,B
4884,4767,P
4899,1062,B
4938,651,B
4981,601,B
5071,7471,P
5082,1407,B
5110,969,B
5150,733,B
5212,3541,P
5236,1131,B
5419,21977,I
5443,3310,P
5451,945,B
5458,574,B
5464,619,B
5499,3130,P
5522,1067,B
5567,795,B
5607,642,B
5688,6281,P
5701,1635,B
5736,1251,B
5778,1219,B
5833,3383,P
5869,2401,P
6036,20439,I
6066,3936,P
6081,1763,B
6090,1091,B
6100,1097,B
6125,3285,P
6153,1268,B
6208,3484,P
6238,1446,B
6275,1438,B
6336,3558,P
6359,1731,B
6402,1437,B
6456,3453,P
6498,3660,P
6550,5138,I
6714,21891,P
6720,596,B
6724,372,B
6731,488,B
6756,3176,P
6774,670,B
6812,461,B
6855,307,B
6905,1905,P
6939,606,B
6980,341,B
7021,278,B
7064,548,P
7101,255,B
7249,15258,I
7292,6037,P
7300,570,B
7304,417,B
7313,238,B
7380,3972,P
7399,575,B
7436,241,B
7488,2007,P
7541,3139,P
7566,511,B
7601,224,B
7665,3302,P
7706,3144,P
7742,2508,P
7916,21455,I
7940,3068,P
7945,464,B
7951,222,B
7974,3179,P
7995,2690,P
8037,2663,P
8061,446,B
8119,2471,P
8147,441,B
8189,237,B
8267,5841,P
8273,493,B
8331,3067,P
8372,2948,P
8556,23740,I
8567,1221,P
8571,318,B
8576,232,B
8579,305,B
8633,4497,P
8650,717,B
8690,479,B
8726,369,B
8813,6903,P
8824,1145,B
8858,813,B
8894,560,B
8957,3609,P
8979,844,B
9171,21804,I
9195,3172,P
9204,965,B
9209,637,B
9217,649,B
9254,3668,P
9276,962,B
9316,643,B
9369,2247,P
9428,5019,P
9445,1217,B
9482,724,B
9524,657,B
9586,3645,P
9625,3298,P
9796,21668,I
9811,2124,P
9827,1987,P
9844,2292,P
9864,2297,P
9882,2273,P
9906,2368,P
9951,2537,P
9993,2322,P
10045,3665,P
10065,746,B
10132,4516,P
10150,1099,B
10193,557,B
10228,438,B
10420,21644,I
10432,1582,P
10450,2410,P
10457,727,B
10463,426,B
10477,316,B
10541,3213,P
10565,698,B
10606,433,B
10644,312,B
10765,12100,P
10776,1236,B
