at_sec latencyMs frameType
0.000 298 B
1.017 441 B
2.025 449 B
3.018 442 B
4.017 441 P
5.003 426 P
6.009 433 P
7.010 433 P
8.008 432 P
9.034 415 B
10.009 433 P
11.013 437 P
12.018 441 B
13.018 441 B
14.018 441 P
15.017 441 P
16.017 441 P
17.026 449 P
18.026 450 B
19.010 433 P
20.007 473 B
21.025 491 B
22.026 491 B
23.008 474 P
24.026 491 I
25.022 487 P
26.026 492 B
27.008 557 B
28.008 556 P
29.006 555 B
30.010 559 P
31.032 623 I
32.018 733 B
33.573 2080 P
34.034 2082 B
35.034 2082 B
37.031 3747 P
37.080 3754 P
38.034 3750 P
39.034 3750 B
40.033 3749 B
41.031 3747 I
42.033 3749 P
43.033 3749 B
44.033 3749 P
45.032 3748 P
46.033 3749 I
47.041 3965 B
48.113 4661 B
49.382 5306 P
50.025 5574 P
51.034 6291 P
52.051 6725 P
53.033 7207 P
54.225 7691 B
55.104 7903 B
56.026 8158 P
57.504 9053 B
58.049 9056 B
59.009 9641 B
60.009 9891 P
61.694 11410 P
62.034 11415 P
63.391 12440 P
64.034 12583 B
65.205 13712 P
66.962 14844 B
67.007 14848 P
68.852 16026 P
69.026 16033 B
70.677 17309 B
71.001 17342 B
73.044 18968 P
73.090 18972 P
75.046 20345 P
75.089 20346 P
76.233 20949 P
77.163 21295 P
78.084 21550 P
79.071 21870 P
80.252 22426 P
81.188 22737 B
82.136 23185 P
83.026 23492 P
84.226 24025 P
85.226 24400 P
86.373 24964 P
87.033 25041 P
88.011 25643 P
89.041 26173 P
90.106 26698 P
91.162 26794 P
92.129 26887 P
93.137 26937 P
94.018 26985 P
95.065 26989 P
96.018 27025 P
97.082 27089 P
98.036 27002 I
99.025 27158 P
100.042 27383 P
101.078 27752 P
102.065 27989 P
103.050 28099 P
104.025 28242 P
105.050 28224 P
106.114 28246 P
107.113 28245 P
108.030 28246 I
109.152 28243 P
110.073 28248 P
111.030 28247 P
112.033 28250 P
113.030 28247 I
114.034 28250 P
115.114 28246 P
116.033 28249 P
117.033 28249 P
118.029 28246 I
119.033 28250 P
120.153 28245 P
121.111 28244 P
122.113 28246 P
123.030 28246 I
124.028 28245 P
125.069 28244 P
126.028 28245 P
127.031 28247 P
128.030 28247 I
129.113 28246 P
130.029 28245 P
131.071 28245 P
132.033 28250 P
133.034 28251 I
134.030 28247 P
135.030 28246 P
