at,payloadSizeBytes,frameType
3316,1183,B
3354,896,B
3393,800,B
3464,3555,P
3488,1152,B
3525,1265,B
3562,889,B
3615,2515,P
3656,2604,P
3690,1422,B
3766,5663,P
3782,1365,B
3814,1101,B
3994,21324,I
4018,2930,P
4030,1341,B
4055,843,B
4065,936,B
4090,3400,P
4130,3484,P
4163,1496,B
4195,950,B
4231,1152,B
4296,3444,P
4323,1308,B
4363,1334,B
4405,1168,B
4450,1827,P
4621,20301,I
4645,3149,P
4654,902,B
4660,550,B
4685,3366,P
4693,641,B
4729,622,B
4768,381,B
4828,2738,P
4851,521,B
4899,214,B
4945,1881,P
5000,3532,P
5046,3592,P
5068,1711,P
5254,21306,I
5274,2443,P
5279,418,B
5300,2716,P
5305,411,B
5313,426,B
5357,170,B
5427,4668,P
5435,734,B
5483,490,B
5522,419,B
5585,4090,P
5610,813,B
5652,708,B
5693,645,B
5872,20331,I
5893,2770,P
5900,533,B
5906,480,B
5912,524,B
5961,4555,P
5978,1023,B
6021,706,B
6068,658,B
6132,3784,P
6152,783,B
6185,634,B
6252,3566,P
6290,3674,P
6339,3589,P
6497,20256,I
6521,3131,P
6527,792,B
6535,567,B
6541,532,B
6590,4944,P
6603,713,B
6645,582,B
6692,539,B
6760,4149,P
6772,851,B
6810,609,B
6859,520,B
6916,2881,P
6934,613,B
7121,20257,I
7139,2305,P
7155,2040,P
7176,2437,P
7211,4665,P
7219,737,B
7234,662,B
7276,534,B
7331,3514,P
7360,689,B
7396,667,B
7436,530,B
7501,2994,P
7526,656,B
7567,551,B
7753,21098,I
7773,2700,P
7779,420,B
7784,516,B
7790,544,B
7825,2028,P
7856,928,B
7895,590,B
7941,489,B
8057,11078,P
8061,312,B
8065,155,B
8103,421,B
8157,1445,P
8191,419,B
8346,17447,I
8367,2795,P
8374,585,B
8379,502,B
8398,348,B
8469,4404,P
8488,1007,B
8526,645,B
8567,523,B
8631,4600,P
8657,1036,B
8687,763,B
8734,518,B
8788,3356,P
8809,583,B
9001,22257,I
9018,2068,P
9026,902,B
9033,591,B
9039,499,B
9091,4038,P
9109,1241,B
9152,695,B
9187,576,B
9248,2516,P
9275,1366,B
9319,744,B
9352,704,B
9416,3738,P
9438,665,B
9621,21142,I
9659,4991,P
9665,551,B
9671,593,B
9678,469,B
9705,3341,P
9733,478,B
9775,399,B
9815,303,B
9870,3373,P
9895,758,B
9939,584,B
9985,536,B
10048,4296,P
10067,605,B
10224,17797,I
10247,3031,P
10260,1352,B
10267,727,B
10276,858,B
10335,4144,P
10368,1681,B
10403,1035,B
10436,771,B
10502,3258,P
10526,1392,B
10570,827,B
10612,930,B
10672,3528,P
10695,1028,B
10859,19489,I
