at_sec latencyMs frameType
16.775 361 B
16.815 358 B
16.864 366 P
16.901 361 B
16.943 362 B
16.983 360 B
17.023 358 P
17.078 372 B
17.123 375 P
17.163 373 I
17.207 376 B
17.247 374 B
17.296 382 B
17.335 379 P
17.374 375 B
17.415 376 B
17.455 373 B
17.501 377 P
17.538 374 B
17.584 378 B
17.623 375 B
17.664 375 P
17.709 378 B
17.745 371 P
17.790 376 I
17.829 372 B
17.871 373 B
17.920 381 B
17.960 379 P
17.997 373 B
18.039 375 B
18.079 372 B
18.126 378 P
18.163 374 B
18.207 376 B
18.246 373 B
18.295 381 P
18.334 377 B
18.373 375 P
18.415 376 I
18.453 372 B
18.501 377 B
18.543 379 B
18.583 377 P
18.623 375 B
18.664 375 B
18.711 380 B
18.751 377 P
18.788 374 B
18.831 375 B
18.871 373 B
18.914 375 P
18.959 378 B
18.997 374 P
19.039 374 I
19.079 373 B
19.120 371 B
19.168 378 B
19.208 376 P
19.247 374 B
19.288 373 B
19.335 379 B
19.374 375 P
19.411 372 B
19.455 374 B
19.497 373 B
19.538 373 P
19.580 374 B
19.624 376 P
19.663 373 I
19.703 372 B
19.751 378 B
19.788 373 P
19.830 374 B
19.871 372 B
19.915 375 B
19.960 379 P
19.998 375 B
20.038 374 B
20.086 380 P
20.124 375 B
20.166 376 P
20.205 374 B
20.247 374 P
20.288 374 I
20.331 374 B
20.375 377 P
20.414 375 B
20.456 374 B
20.503 380 P
20.540 375 B
20.583 377 P
20.623 374 B
20.663 373 P
20.712 380 B
20.748 375 B
20.791 376 B
20.829 372 P
20.871 373 P
20.912 373 I
20.956 375 B
21.000 376 B
21.039 375 B
21.088 381 P
21.127 379 B
21.165 376 B
21.207 376 B
21.248 375 P
21.287 373 B
21.335 379 B
21.373 375 B
21.416 377 P
21.455 374 B
21.496 373 P
21.543 378 I
21.583 377 B
21.624 375 B
21.663 374 B
21.711 380 P
21.751 378 B
21.790 376 B
21.831 375 B
21.871 373 P
21.912 373 B
21.959 378 B
21.999 375 B
22.038 374 P
22.079 372 B
22.124 376 P
22.168 379 I
22.207 375 B
22.248 375 B
22.295 381 B
22.335 379 P
22.376 377 B
22.414 375 B
22.455 374 B
22.499 376 P
22.537 372 B
22.583 377 B
22.623 374 B
22.663 374 P
22.712 381 B
22.750 377 P
22.792 377 I
22.828 372 B
22.872 374 B
22.919 380 B
22.960 378 P
22.998 375 B
23.037 373 B
23.086 380 B
23.123 375 P
23.167 378 B
23.208 377 B
23.246 373 B
23.290 375 P
23.330 374 B
23.370 372 P
23.415 376 I
23.454 372 B
23.504 381 B
23.544 379 B
23.583 377 P
23.624 376 B
23.664 374 B
23.711 380 B
23.750 377 P
23.788 373 B
23.831 375 B
23.872 373 B
23.917 378 P
23.958 377 B
23.995 372 P
24.039 374 I
24.079 373 B
24.127 379 B
24.168 378 B
24.208 376 P
24.247 374 B
24.290 376 B
24.335 379 B
24.375 377 P
24.414 374 B
24.455 374 B
24.500 377 B
24.542 378 P
24.584 377 B
24.622 374 P
24.663 374 I
24.709 377 B
24.752 379 B
24.791 377 B
24.832 376 P
24.872 373 B
24.916 376 B
24.953 372 B
24.999 376 P
25.039 375 B
25.087 381 B
25.125 377 B
25.167 378 P
25.206 375 B
25.247 374 P
25.296 381 I
25.335 379 B
25.376 377 B
25.415 376 B
25.456 374 P
25.499 376 B
25.543 379 B
25.584 378 B
25.620 372 P
25.663 374 B
25.707 376 B
25.751 378 B
25.787 373 P
25.828 372 B
25.870 371 P
25.920 380 I
25.958 376 B
26.000 376 B
26.039 375 B
26.087 381 P
26.127 379 B
26.165 376 B
26.203 372 B
26.247 374 P
26.288 374 B
26.335 379 B
26.374 376 B
26.414 374 P
26.455 374 B
26.498 375 P
26.544 379 I
26.579 372 B
26.624 375 B
26.663 374 B
26.712 380 P
26.752 378 B
26.792 378 B
26.830 374 B
26.871 373 P
26.920 381 B
26.957 376 B
26.998 375 B
27.039 375 P
27.084 377 B
27.125 376 P
27.168 379 I
27.207 376 B
27.247 374 B
27.296 382 B
27.336 380 P
27.376 378 B
27.415 376 B
27.454 373 B
27.502 379 P
27.539 374 B
27.584 378 B
27.623 375 B
27.663 374 P
27.710 379 B
27.745 371 P
27.791 377 I
27.831 374 B
27.871 373 B
27.920 381 B
27.960 378 P
28.000 377 B
28.040 375 B
28.078 372 B
28.126 378 P
28.163 374 B
28.207 376 B
28.247 374 B
28.287 373 P
28.324 368 B
28.367 369 P
28.414 375 I
28.454 372 B
28.496 373 B
28.536 372 B
28.583 377 P
28.623 375 B
28.664 375 B
28.702 371 B
28.743 370 P
28.788 374 B
28.824 368 B
28.871 373 B
28.909 370 P
28.949 368 B
28.992 369 P
29.040 376 I
29.076 370 B
29.120 372 B
29.160 370 B
29.208 377 P
29.242 369 B
29.288 374 B
29.326 370 B
29.367 369 P
29.412 373 B
29.449 367 B
29.496 373 B
29.535 371 P
29.575 369 B
29.618 370 P
29.663 374 I
29.700 369 B
29.744 371 B
29.783 369 B
29.831 375 P
29.871 373 B
29.912 373 B
29.951 370 B
30.000 377 P
30.039 375 B
30.080 374 B
30.120 372 B
30.159 370 P
30.248 417 B
30.296 423 P
30.334 420 I
30.375 419 B
30.415 417 B
30.462 423 B
30.504 423 P
30.539 416 B
30.584 419 B
30.631 425 B
30.670 421 P
30.711 422 B
30.751 420 B
30.791 418 B
30.834 420 P
30.913 456 B
30.959 461 P
30.996 457 I
31.038 457 B
31.088 465 B
31.128 464 B
31.167 461 P
31.208 459 B
31.248 458 B
31.289 458 B
31.335 462 P
31.372 457 B
31.414 458 B
31.454 456 B
31.503 464 P
31.558 477 B
31.599 476 P
31.641 477 I
31.687 481 B
31.726 478 B
31.767 478 B
31.814 483 P
31.849 476 B
31.896 482 B
31.935 479 B
31.981 483 P
32.024 484 B
32.063 482 B
32.104 480 B
32.143 479 P
32.251 544 B
32.293 545 P
32.335 546 I
32.379 548 B
32.417 544 B
32.464 550 B
32.504 548 P
32.543 545 B
32.592 553 B
32.631 550 B
32.671 548 P
32.711 546 B
32.750 544 B
32.799 551 B
32.835 545 P
32.885 554 B
32.926 553 P
32.973 559 I
33.016 559 B
33.055 557 B
33.095 556 B
33.138 557 P
33.183 560 B
33.223 559 B
33.263 557 B
33.303 555 P
33.349 560 B
33.392 561 B
33.430 557 B
33.468 553 P
33.514 558 B
33.559 561 P
33.600 560 I
33.647 565 B
33.687 564 B
33.728 563 B
33.767 561 P
33.808 560 B
33.856 566 B
33.890 559 B
33.936 562 P
33.973 559 B
34.015 559 B
34.055 557 B
34.100 561 P
34.140 559 B
34.184 561 P
34.227 562 I
34.271 565 B
34.311 563 B
34.350 560 B
34.391 560 P
34.438 564 B
34.479 565 B
34.519 563 B
34.559 561 P
34.599 560 B
34.648 567 B
34.681 558 B
34.727 563 P
34.778 571 B
34.824 576 P
34.863 574 I
34.903 572 B
34.947 574 B
34.991 577 B
35.031 575 P
35.071 573 B
35.120 580 B
35.156 575 B
35.199 576 P
35.238 574 B
35.279 573 B
35.320 572 B
35.361 572 P
35.407 576 B
35.444 571 P
35.488 574 I
35.536 579 P
35.575 577 B
35.615 576 B
36.219 1138 B
36.264 1141 P
36.304 1139 P
36.351 1145 B
36.387 1139 B
36.432 1143 B
36.469 1138 P
36.512 1138 B
36.559 1145 B
37.314 1858 B
37.360 1862 P
37.361 1197 I
37.408 1202 B
37.447 1199 B
37.488 1199 B
37.535 1204 P
37.575 1202 B
37.611 1197 B
37.656 1199 B
37.695 1197 P
37.743 1203 B
37.779 1197 B
37.823 1200 B
37.864 1200 P
38.550 1844 B
38.600 1852 P
38.600 561 I
38.647 566 B
38.688 565 B
38.728 563 B
38.768 562 P
38.810 562 B
38.856 567 B
38.893 562 B
39.084 711 P
39.084 545 P
39.187 523 I
39.232 526 P
39.271 523 P
39.319 530 P
39.358 526 P
39.399 526 P
39.440 526 P
39.479 523 P
39.528 530 P
39.564 525 P
39.788 706 P
39.832 709 P
39.832 543 I
39.874 543 B
39.919 546 B
39.960 546 B
40.007 551 P
40.045 547 P
40.081 542 P
40.355 774 B
40.399 776 P
40.399 485 I
40.443 487 P
40.488 490 P
40.524 485 B
40.567 486 P
40.613 490 B
40.655 491 B
40.696 490 B
40.734 485 P
40.775 486 B
40.817 486 B
40.972 599 B
41.015 601 P
41.015 476 I
41.061 480 B
41.104 481 B
41.143 479 B
41.182 476 P
41.230 482 B
41.271 482 B
41.312 481 B
41.351 478 P
41.392 478 B
41.440 484 B
41.472 474 B
41.520 480 P
41.661 580 P
41.712 588 P
41.748 584 I
41.792 586 P
41.830 582 P
41.870 581 P
41.919 588 P
41.959 586 P
42.245 831 P
42.296 840 P
42.296 507 I
42.344 513 P
42.382 508 P
42.423 509 P
42.471 515 P
42.511 513 P
42.552 512 P
42.590 509 B
42.632 509 B
42.918 754 B
42.967 761 P
42.967 553 I
43.016 560 B
43.052 554 B
43.095 556 B
43.136 555 P
43.183 560 B
43.223 559 B
43.502 796 B
43.552 804 P
43.552 513 I
43.656 575 P
43.704 581 P
43.742 578 B
43.783 577 P
43.830 582 B
43.872 582 B
43.912 580 B
43.952 579 P
44.036 622 B
44.079 623 P
44.080 416 I
44.173 467 P
44.221 473 P
44.260 471 P
44.303 472 P
44.341 468 B
44.383 469 B
44.430 474 B
44.471 473 P
44.511 472 B
44.551 470 B
44.591 468 P
44.740 576 B
44.783 577 P
44.783 494 I
44.826 495 P
44.871 498 P
44.910 496 P
44.951 495 P
44.997 499 P
45.040 500 P
45.079 498 P
45.120 497 P
45.168 504 P
45.205 499 P
45.248 500 P
45.539 750 P
45.583 752 P
45.583 669 I
46.162 1206 P
46.208 1210 P
46.248 1209 P
46.290 1209 P
46.295 756 I
46.856 1275 P
46.903 1280 P
46.903 739 I
47.449 1243 P
47.496 1248 P
47.535 1246 P
47.536 747 I
47.581 750 B
48.168 1295 B
48.215 1301 P
48.215 801 I
48.263 807 P
48.788 1290 B
48.788 1207 P
49.251 1212 I
49.296 1215 B
49.344 1221 P
49.344 680 I
49.392 685 B
49.431 683 B
49.471 682 B
49.520 689 P
49.560 687 P
50.494 1580 P
50.543 1587 P
50.543 1254 I
50.544 630 I
51.167 1211 P
51.213 1215 P
51.256 1217 P
51.295 1214 P
51.300 761 I
51.935 1354 P
51.984 1361 P
51.984 820 I
52.031 825 B
52.071 823 B
52.969 1680 B
53.015 1684 P
53.015 1226 I
53.043 1129 P
53.043 629 I
53.615 1159 B
53.661 1163 B
53.704 1165 B
53.744 1163 P
53.748 709 I
53.792 711 B
53.831 708 B
54.310 1146 B
54.357 1151 P
54.357 693 I
54.849 1143 B
54.896 1148 P
54.935 1146 P
54.935 979 P
55.004 715 I
55.047 716 B
55.096 723 B
55.132 718 B
55.547 1091 P
55.547 924 P
56.066 1152 I
56.112 1156 B
56.152 1154 B
56.187 1148 P
56.187 648 I
56.678 1097 B
56.728 1105 B
56.728 1022 P
56.885 721 I
56.935 729 B
56.976 728 P
57.432 1143 P
57.479 1148 P
57.479 690 I
57.527 696 B
57.568 695 B
57.608 694 B
57.647 692 P
57.689 691 B
57.736 697 B
58.666 1585 B
58.712 1589 P
58.712 673 I
59.078 998 B
59.128 1005 P
59.167 1003 P
59.853 1647 P
59.853 1189 I
59.879 591 I
59.927 596 B
59.968 595 B
60.104 690 B
60.151 695 P
60.191 693 B
60.232 693 B
63.461 3880 B
63.508 3885 P
63.508 1094 I
75.588 13132 P
75.631 13133 P
75.631 717 I
76.236 1280 P
76.279 1281 P
76.328 1289 P
76.802 1262 I
76.847 1265 P
76.847 682 I
76.896 689 B
76.936 687 B
76.976 686 P
77.015 684 B
77.759 1385 P
77.808 1393 P
77.808 393 I
77.887 431 P
77.935 436 P
77.975 436 P
78.013 431 P
78.056 432 P
78.104 439 P
78.142 435 P
78.184 435 P
78.708 918 P
78.752 920 P
78.752 712 I
78.808 726 P
78.856 732 P
78.895 730 P
79.353 1146 P
79.400 1151 P
79.400 735 I
79.447 740 P
79.871 1122 P
79.920 1129 P
79.920 630 I
79.967 635 P
80.008 634 P
80.046 631 P
80.096 638 P
80.128 629 P
80.175 635 B
80.215 633 B
80.253 629 B
80.301 636 P
80.643 936 B
80.688 938 P
80.688 773 I
80.736 779 B
80.776 776 B
81.728 1687 B
81.776 1693 P
81.776 1235 I
81.828 1246 P
81.829 663 I
81.953 745 B
81.999 749 B
82.037 746 P
82.079 747 B
82.128 753 B
82.991 1575 B
83.039 1581 P
83.040 1249 I
83.040 624 I
83.092 635 P
83.135 635 P
83.183 643 P
83.217 634 P
83.264 639 P
83.301 635 P
83.349 642 P
83.391 641 P
84.280 1489 P
84.328 1495 P
84.328 1287 I
84.407 741 I
84.455 747 P
84.496 746 P
85.518 1727 B
85.566 1733 P
85.566 1275 I
86.138 1222 I
86.183 1225 P
86.224 1223 P
86.224 1099 P
86.229 687 I
86.832 1249 B
86.880 1254 B
86.919 1253 B
86.958 1250 P
86.963 797 I
87.423 1173 B
87.424 1090 P
87.448 657 I
87.496 662 B
87.536 660 B
87.575 659 P
87.624 665 B
87.664 663 B
87.815 774 B
87.864 780 P
87.864 448 I
87.911 453 P
87.952 451 B
87.992 450 P
88.032 448 B
88.080 454 B
88.116 449 B
88.160 451 P
88.719 968 B
88.768 976 P
88.768 726 I
88.816 732 B
89.281 1155 B
89.328 1161 P
89.328 661 I
89.375 666 B
89.953 1203 B
90.000 1208 P
90.000 1041 P
90.000 708 I
90.403 1069 B
90.447 1071 B
90.496 1079 P
90.496 995 P
90.501 584 I
90.544 585 B
90.622 621 P
90.671 629 P
90.710 626 P
90.751 625 B
90.791 624 B
91.021 812 B
91.068 817 P
91.068 526 I
91.176 592 B
91.224 598 P
91.264 597 P
91.303 594 P
91.343 592 P
91.392 600 B
91.430 596 B
91.472 596 B
91.511 594 P
