at,ptsMs,payloadSizeBytes,frameType
23094,23541,854,B
23132,23500,709,B
23175,23583,594,B
23252,23708,5054,P
23260,23666,559,B
23471,23750,21191,I
23497,23916,2820,P
23506,23833,849,B
23514,23791,710,B
23522,23875,609,B
23565,24083,4686,P
23575,24000,1049,B
23593,23958,823,B
23633,24041,706,B
23709,24250,4946,P
23722,24166,1125,B
23759,24125,929,B
23800,24208,764,B
23876,24333,4915,P
23884,24291,725,B
24104,24375,22095,I
24129,24541,2671,P
24136,24458,757,B
24145,24416,711,B
24154,24500,617,B
24194,24708,4720,P
24206,24625,1029,B
24217,24583,843,B
24258,24666,680,B
24332,24875,4408,P
24346,24791,1174,B
24385,24750,908,B
24426,24833,726,B
24497,24958,4445,P
24509,24916,790,B
24736,25000,22943,I
24764,25166,3035,P
24774,25083,891,B
24783,25041,765,B
24791,25125,698,B
24829,25333,4488,P
24841,25250,987,B
24850,25208,821,B
24883,25291,705,B
24958,25500,4609,P
24970,25416,1125,B
25009,25375,835,B
25049,25458,741,B
25118,25583,3806,P
25135,25541,829,B
25355,25625,22268,I
25383,25791,3021,P
25392,25708,808,B
25400,25666,708,B
25408,25750,641,B
25443,25958,3805,P
25453,25875,1077,B
25466,25833,786,B
25509,25916,679,B
25581,26125,4367,P
25595,26041,1094,B
25634,26000,878,B
25672,26083,727,B
25742,26208,3684,P
25758,26166,704,B
25982,26250,22471,I
26010,26416,2916,P
26018,26333,835,B
26028,26291,749,B
26035,26375,634,B
26068,26583,3577,P
26080,26500,1039,B
26091,26458,796,B
26134,26541,668,B
26206,26750,4272,P
26220,26666,1089,B
26259,26625,845,B
26301,26708,676,B
26367,26833,3650,P
26384,26791,733,B
26611,26875,22768,I
26635,27041,2642,P
26645,26958,840,B
26654,26916,747,B
26661,27000,620,B
26697,27208,3890,P
26707,27125,1049,B
26716,27083,788,B
26757,27166,672,B
26831,27375,4471,P
26845,27291,1077,B
26885,27250,811,B
26926,27333,739,B
26991,27458,3588,P
27009,27416,740,B
27267,27500,22759,I
27302,27666,3027,P
27312,27583,806,B
27323,27541,736,B
27331,27625,636,B
27377,27833,4013,P
27390,27750,1055,B
27403,27708,772,B
27413,27791,706,B
27457,28000,4044,P
27473,27916,1166,B
27510,27875,862,B
27553,27958,729,B
27625,28083,3691,P
27635,28041,804,B
27906,28125,22711,I
27931,28291,2070,P
27942,28208,978,B
27953,28166,697,B
27962,28250,617,B
28009,28458,4234,P
28021,28375,1025,B
28033,28333,790,B
28043,28416,676,B
28090,28625,4352,P
28105,28541,1077,B
28137,28500,879,B
28176,28583,736,B
28245,28708,3593,P
28261,28666,739,B
28530,28750,22385,I
28554,28916,2121,P
28566,28833,972,B
28576,28791,769,B
28586,28875,622,B
28633,29083,4215,P
28646,29000,1040,B
28658,28958,817,B
28668,29041,771,B
28716,29250,4331,P
28731,29166,1141,B
28760,29125,811,B
28802,29208,746,B
28879,29333,4076,P
28889,29291,743,B
29158,29375,22856,I
29192,29541,3055,P
29206,29458,955,B
29216,29416,735,B
29225,29500,621,B
29279,29708,4981,P
29292,29625,964,B
29303,29583,778,B
29313,29666,679,B
29362,29875,4451,P
29377,29791,1109,B
29388,29750,802,B
29427,29833,754,B
29502,29958,3965,P
29511,29916,695,B
29779,30000,22540,I
29814,30166,2953,P
29825,30083,997,B
29838,30041,818,B
29847,30125,669,B
29895,30333,4358,P
29909,30250,1057,B
29921,30208,861,B
29931,30291,719,B
29974,30500,3873,P
29989,30416,1085,B
30011,30375,860,B
30053,30458,728,B
