at_sec latencyMs frameType
0.000 173 P
1.013 186 B
2.021 235 I
3.021 235 P
4.005 260 B
5.002 257 B
6.022 277 P
7.037 293 P
8.043 299 P
9.041 297 P
10.040 296 B
11.045 300 B
12.043 299 P
13.037 293 P
14.045 301 B
15.001 299 P
16.037 293 B
17.036 292 P
18.037 293 P
19.037 293 B
20.037 293 B
21.013 269 B
22.029 285 P
23.036 292 P
24.037 293 P
25.001 299 B
26.003 301 P
27.039 295 P
28.002 300 B
29.044 300 B
30.038 293 P
31.021 402 P
32.036 459 P
33.038 461 B
34.037 459 P
35.035 458 B
36.038 461 P
37.037 460 P
38.033 456 P
39.037 460 B
40.037 460 P
41.036 458 P
42.038 461 P
43.037 876 P
44.038 544 B
45.045 551 P
46.045 551 P
47.036 542 P
48.037 543 B
49.037 543 B
50.045 551 B
51.041 547 P
52.039 545 B
53.036 542 P
54.045 551 B
55.045 551 B
56.040 546 P
57.037 543 B
58.037 543 P
59.045 551 P
60.045 551 B
61.894 1567 P
62.539 1920 P
63.028 452 P
64.371 1252 P
65.563 1236 B
66.326 1250 P
67.038 836 B
68.090 1846 B
69.425 1264 B
70.044 1258 B
71.280 1369 I
72.417 1798 B
73.630 1761 P
74.403 1326 P
75.037 710 B
76.153 1201 P
77.005 636 B
78.014 978 B
79.453 1293 P
80.072 1371 P
81.107 531 B
82.006 595 B
83.661 1750 B
84.149 1072 B
85.037 626 P
86.045 1010 P
87.022 736 B
88.734 1865 P
89.278 1159 B
90.134 807 B
91.021 402 B
92.028 409 P
93.021 402 B
94.036 417 P
95.025 532 P
96.019 483 I
97.022 570 P
98.029 368 P
99.133 431 B
100.013 437 B
101.036 625 B
102.038 544 P
103.020 360 B
104.000 465 P
105.005 469 B
106.029 453 P
107.029 410 B
108.014 437 P
109.108 573 B
110.034 333 B
111.022 446 B
112.020 443 B
113.021 445 P
114.084 507 B
115.010 517 B
116.024 488 I
117.030 495 B
118.017 356 P
119.048 472 P
120.018 482 P
121.020 484 I
122.021 402 P
123.019 401 P
124.021 403 P
125.021 403 P
126.021 319 P
127.037 336 P
128.044 343 P
129.046 344 P
130.040 338 B
131.038 337 P
132.040 339 P
133.040 338 B
134.044 342 B
135.038 337 B
136.039 338 P
137.039 338 B
138.044 343 B
139.041 340 B
140.039 338 P
141.040 339 P
142.043 342 P
143.044 343 B
144.040 339 P
145.042 341 B
146.041 340 B
147.041 340 B
148.041 340 P
149.044 342 P
