at,payloadSizeBytes,frameType
21293,615,B
21469,19297,I
21502,4442,P
21511,1028,B
21517,564,B
21523,602,B
21577,4976,P
21589,958,B
21625,557,B
21671,576,B
21738,4307,P
21752,933,B
21795,580,B
21837,549,B
21901,4386,P
21918,567,B
22038,11495,I
22091,7360,P
22116,3270,P
22148,3881,P
22174,3556,P
22198,3063,P
22237,4084,P
22298,6793,P
22331,4468,P
22360,3829,P
22381,677,B
22421,502,B
22461,414,B
22507,1036,P
22542,441,B
22731,21129,I
22739,830,P
22744,381,B
22747,299,B
22752,234,B
22819,4091,P
22833,647,B
22879,439,B
22917,425,B
22976,2966,P
23031,4715,P
23050,1161,B
23089,721,B
23127,673,B
23176,1366,P
23367,23140,I
23389,3019,P
23397,871,B
23405,747,B
23430,3070,P
23449,2631,P
23457,355,B
23509,1907,P
23551,1317,P
23592,1214,P
23629,659,P
23666,251,B
23710,181,B
23748,171,B
23793,198,P
24003,24275,I
24011,1040,P
24016,288,B
24019,204,B
24024,216,B
24057,2311,P
24082,390,B
24128,278,B
24166,344,B
24226,3069,P
24273,3800,P
24294,472,B
24336,361,B
24376,241,B
24434,2462,P
24627,23974,I
24636,1136,P
24641,297,B
24650,913,P
24655,468,P
24685,2490,P
24711,414,B
24750,316,B
24791,243,B
24972,20293,P
24976,427,B
24981,164,B
24984,365,B
25000,289,P
25042,212,B
25164,11831,I
25176,1427,P
25180,433,B
25208,264,B
25251,206,B
25333,5602,P
25335,291,B
25378,490,B
25418,207,B
25514,8251,P
25518,443,B
25543,299,B
25616,4689,P
25631,673,B
25669,327,B
25881,24591,I
25898,2181,P
25903,570,P
25911,612,P
25916,619,P
25923,623,P
25958,334,P
26004,381,P
26044,411,P
26089,833,P
26129,682,P
26168,662,P
26209,524,P
26257,1304,P
26294,363,P
26504,24486,I
26518,1585,P
26536,2381,P
26555,2377,P
26575,2602,P
26598,2806,P
26615,2135,P
26634,1730,P
26674,1944,P
26726,2833,P
26752,482,B
26799,1657,P
26847,1943,P
26902,3968,P
26943,3927,P
27124,23545,I
27137,1779,P
27155,2249,P
27175,2575,P
27193,2176,P
27206,1727,P
27220,1589,P
27264,2104,P
27301,1838,P
27340,1561,P
27393,3129,P
27420,546,B
27460,477,B
27500,223,B
27565,3497,P
27756,24671,I
27769,1694,P
27784,1834,P
27810,3304,P
27818,905,B
27824,482,B
27836,494,B
27901,3792,P
27930,1715,B
27961,1044,B
28008,1128,B
28080,5776,P
28098,1988,B
28132,1378,B
28172,1240,B
28380,24491,I
28408,3714,P
28419,1467,B
28428,904,B
28436,1050,B
28467,3929,P
28480,1698,B
28508,1156,B
28545,1082,B
28616,4696,P
28634,1548,B
28675,1142,B
28715,1060,B
28784,5274,P
28800,1217,B
29006,24772,I
