at_sec latencyMs frameType
0.000 171 B
1.033 288 B
2.012 267 P
3.018 273 P
4.024 279 B
5.024 279 B
6.025 280 P
7.025 280 B
8.016 271 P
9.037 293 B
10.035 290 B
11.001 297 P
12.041 296 B
13.001 297 B
14.040 295 B
15.000 296 B
16.001 297 B
17.000 297 B
18.001 297 P
19.001 297 I
20.000 297 P
21.001 297 P
22.000 297 P
23.001 297 P
24.000 297 I
25.001 297 B
26.000 297 B
27.000 296 P
28.033 288 B
29.033 289 B
30.033 288 P
31.002 341 P
32.000 381 B
33.009 390 P
34.001 382 P
35.003 383 B
36.009 390 B
37.009 389 P
38.001 382 P
39.003 383 B
40.001 382 B
41.009 390 B
42.009 389 B
43.001 381 B
44.006 386 B
45.002 383 P
46.008 389 B
47.009 389 B
48.007 387 P
49.003 384 B
50.003 383 P
51.009 390 P
52.006 386 P
53.009 390 P
54.001 382 B
55.003 383 B
56.009 390 B
57.009 390 B
58.007 388 P
59.001 381 B
60.004 384 B
61.025 571 P
62.978 1859 B
63.024 1863 P
64.966 3263 P
65.016 3272 B
66.017 3273 B
67.000 3422 B
68.016 3855 P
69.024 4363 B
70.032 4663 B
71.033 4955 B
72.003 5341 B
73.321 5952 B
74.330 6419 B
75.017 6481 P
76.008 6972 P
77.000 7422 B
78.009 7973 P
79.025 8406 B
80.017 8689 P
81.008 9055 B
82.166 9505 B
83.016 9897 B
84.017 10231 B
85.023 10529 B
86.001 10757 P
87.001 11090 P
88.041 11713 P
89.041 12005 B
90.025 12364 P
91.008 12473 P
92.009 12473 B
93.008 12472 P
94.009 12473 P
95.009 12473 B
96.008 12472 P
97.009 12473 P
98.009 12473 P
99.009 12473 P
100.009 12473 P
101.009 12473 B
102.008 12473 B
103.009 12473 P
104.009 12473 B
105.009 12473 B
106.009 12473 B
107.009 12473 B
108.009 12473 P
109.008 12472 P
110.007 12471 P
111.009 12473 P
112.008 12472 P
113.010 12474 P
114.008 12473 B
115.009 12473 B
116.009 12473 B
117.006 12470 P
118.009 12473 P
119.008 12472 B
120.009 12473 B
121.008 12473 B
122.008 12472 B
123.008 12473 P
124.009 12473 P
125.008 12473 P
126.009 12473 P
127.009 12474 B
128.008 12473 P
129.009 12474 P
130.008 12472 P
131.008 12473 P
132.009 12473 B
133.008 12472 P
134.009 12473 B
135.008 12473 B
136.007 12472 B
137.008 12473 P
138.009 12473 P
139.007 12471 P
140.008 12473 B
141.009 12473 B
142.008 12472 P
143.009 12473 P
144.008 12472 B
145.008 12473 B
146.009 12474 B
147.009 12474 P
148.008 12473 P
149.009 12474 P
150.008 12473 P
