at,payloadSizeBytes,frameType
21104,1978,B
21235,14800,I
21270,4671,P
21279,1004,B
21288,1127,B
21325,3731,P
21371,4529,P
21423,5814,P
21444,2714,B
21482,2262,B
21524,2374,B
21584,5568,P
21610,2671,B
21649,2439,B
21697,3269,P
21731,2417,B
21805,6845,I
21833,3834,P
21852,1533,B
21890,1170,B
21943,3144,P
21974,1581,B
22014,1085,B
22053,899,B
22107,2424,P
22144,1518,B
22180,894,B
22222,952,B
22265,1728,P
22312,2000,P
22351,2031,P
22425,6217,I
22491,9066,P
22505,1655,B
22511,794,B
22552,1144,B
22616,3537,P
22645,1689,B
22683,1305,B
22724,1136,B
22792,4917,P
22813,1923,B
22847,1367,B
22886,1169,B
22946,3585,P
22975,1301,B
23103,14265,I
23129,3395,P
23140,1299,B
23148,788,B
23180,841,B
23241,3600,P
23268,1375,B
23305,904,B
23344,852,B
23412,4167,P
23446,1700,B
23474,1145,B
23516,1134,B
23575,3962,P
23600,1324,B
23766,19045,I
23791,3388,P
23804,1698,B
23814,1231,B
23824,1090,B
23866,3526,P
23892,1571,B
23929,1109,B
23973,979,B
24033,3915,P
24056,1540,B
24097,1037,B
24140,985,B
24198,3786,P
24224,1172,B
24411,22013,I
24438,3591,P
24453,1678,B
24463,1164,B
24474,1151,B
24511,5110,P
24526,1667,B
24553,1205,B
24595,1078,B
24668,5072,P
24687,1882,B
24725,1336,B
24766,1176,B
24829,4538,P
24851,1524,B
24967,12104,I
24986,2546,P
25009,2836,P
25035,3446,P
25057,1251,B
25109,2683,P
25149,2490,P
25199,3567,P
25225,1292,B
25281,3904,P
25305,1363,B
25345,1306,B
25406,3462,P
25445,3256,P
25480,2643,P
25624,16932,I
25657,4369,P
25669,1607,B
25700,3947,P
25714,1890,B
25725,1133,B
25762,1106,B
25825,3935,P
25854,1774,B
25891,1193,B
25932,1126,B
25992,3776,P
26019,2050,B
26058,1323,B
26095,1156,B
26241,16028,I
26270,3951,P
26285,1593,B
26293,918,B
26304,1066,B
26371,4406,P
26390,1919,B
26432,1144,B
26476,1478,B
26536,4641,P
26566,2395,B
26602,1594,B
26643,1445,B
26701,4023,P
26729,1815,B
26817,9050,I
26842,3302,P
26855,1642,B
26894,1681,B
26943,2982,P
27058,13361,P
27070,1635,B
27081,1304,B
27096,918,B
27156,3415,P
27184,1452,B
27222,841,B
27263,939,B
27310,1822,P
27348,973,B
27466,12076,I
27490,3165,P
27501,1332,B
27512,824,B
27555,872,B
27632,6015,P
27645,1438,B
27680,914,B
27722,895,B
27792,4831,P
27803,1002,B
27871,4450,P
27896,2151,B
27933,1230,B
27975,1349,B
28149,20744,I
28188,5042,P
28192,223,B
28196,199,B
28223,3733,P
28230,562,B
28261,378,B
28300,413,B
28369,4572,P
28387,934,B
28428,623,B
28489,3956,P
28532,4161,P
28551,808,B
28596,644,B
28741,15667,I
28765,3159,P
28773,920,B
28780,463,B
28802,485,B
28860,2958,P
28886,746,B
28924,445,B
28968,453,B
29038,4331,P
29053,982,B
29094,502,B
29133,598,B
29192,2712,P
29215,634,B
29400,20544,I
29429,3689,P
29440,1360,B
29448,656,B
29456,748,B
29496,4473,P
29512,948,B
29554,687,B
29612,3201,P
29641,1169,B
29677,627,B
29718,657,B
29805,6902,P
29810,508,B
29844,665,B
30018,19620,I
30050,4267,P
30062,1482,B
30072,949,B
30081,926,B
30127,5195,P
30145,1856,B
30178,1082,B
30219,812,B
30290,4712,P
30308,1491,B
30345,1019,B
30388,950,B
30454,4471,P
30471,790,B
30597,12970,I
30632,4786,P
30645,1608,B
30654,1005,B
30680,1419,B
30742,4064,P
30799,6102,P
30820,2436,B
30881,5924,P
30902,2408,B
30936,1889,B
30978,1824,B
31045,5786,P
31062,2084,B
31103,1739,B
31188,8187,I
31217,3897,P
31231,1720,B
31267,1444,B
31365,9433,P
31394,3913,B
31402,914,B
31428,1125,B
31478,1878,P
31512,726,B
31571,3114,P
31594,1004,B
31638,668,B
31691,2924,P
31717,926,B
31824,9913,I
31855,4445,P
31872,1952,B
31889,1094,B
31931,1082,B
32003,5475,P
32016,1477,B
32057,1033,B
32122,4578,P
