at_sec latencyMs frameType
0.000 170 P
1.040 543 P
2.457 1377 P
3.852 2398 B
4.024 2403 B
5.040 3336 P
6.040 3336 P
7.039 3335 B
8.038 3334 B
9.040 3336 B
10.039 3334 B
11.040 3336 B
12.030 3326 B
13.040 3336 P
14.039 3335 B
15.031 3327 B
16.036 3332 P
17.030 3326 B
18.036 3332 B
19.040 3336 B
20.034 3330 B
21.031 3327 P
22.035 3331 B
23.039 3335 P
24.038 3334 P
25.032 3328 P
26.030 3326 P
27.034 3330 B
28.038 3334 P
29.038 3334 B
