at,payloadSizeBytes,frameType
3752,4781,P
3764,412,B
3807,356,B
3899,181,B
3936,5123,P
3940,422,B
3973,259,B
4056,6256,P
4061,421,B
4097,194,B
4286,21918,I
4310,3231,P
4316,337,B
4321,314,B
4325,168,B
4385,5494,P
4390,393,B
4434,402,B
4471,178,B
4573,8647,P
4579,510,B
4599,412,B
4640,310,B
4700,3042,P
4723,599,P
4890,18277,I
4893,246,P
4897,248,B
4901,187,B
4929,185,B
5097,17995,P
5100,157,B
5107,778,P
5111,433,P
5140,719,P
5189,1067,P
5231,1417,P
5272,1416,P
5308,957,P
5351,862,P
5494,15622,I
5504,1340,P
5523,2420,P
5542,2447,P
5574,2956,P
5611,2408,P
5652,2333,P
5702,3262,P
5734,1976,P
5797,5062,P
5809,513,B
5848,163,B
5914,4003,P
5952,3592,P
5991,2844,P
6175,23739,I
6198,2962,P
6219,2767,P
6241,2792,P
6252,1272,P
6256,348,B
6263,156,B
6316,2284,P
6350,430,B
6387,246,B
6460,4552,P
6471,435,B
6538,3556,P
6575,2757,P
6598,337,P
6801,23796,I
6820,2429,P
6839,2588,P
6859,2358,P
6878,2747,P
6885,405,B
6902,2089,P
6959,4518,P
6973,775,B
7013,378,B
7061,946,B
7146,7104,P
7158,1552,B
7187,1043,B
7226,1107,B
7417,22451,I
7426,921,P
7437,1407,P
7456,2599,P
7477,2486,P
7495,2315,P
7531,2832,P
7556,460,B
7599,392,B
7637,215,B
7702,3203,P
7723,492,B
7763,297,B
7822,2747,P
7874,3437,P
7960,10704,I
8062,14237,P
8066,441,B
8070,182,B
8074,258,B
8111,2423,P
8157,2686,P
8194,2178,P
8241,3196,P
8263,451,B
8308,360,B
8348,188,B
8404,2657,P
8433,435,B
8471,236,B
8674,23136,I
8696,3007,P
8704,680,B
8710,556,B
8725,2008,P
8740,1720,P
8769,1171,P
8811,1021,P
8856,1578,P
8888,317,B
8932,241,B
8970,173,B
9039,3798,P
9076,3311,P
9117,3444,P
9303,24046,I
9328,3298,P
9350,2984,P
9357,480,B
9360,203,B
9376,2222,P
9406,2622,P
9445,2333,P
9488,2506,P
9532,2775,P
9580,3464,P
9600,432,B
9646,1226,P
9682,290,B
9724,233,B
9932,24519,I
9940,807,P
9944,267,B
9948,156,B
9950,153,B
9995,3768,P
10014,379,B
10055,282,B
10098,485,B
10173,5358,P
10187,1614,B
10226,1037,B
10271,1159,B
10329,3965,P
10356,1906,B
10556,24717,I
10581,3284,P
10593,1285,B
10602,1011,B
10613,1175,B
10632,2533,P
10718,11988,P
10730,1417,B
10740,865,B
10766,693,B
10820,2281,P
10844,333,B
10887,268,B
10931,164,B
10974,358,P
11136,17658,I
11152,2154,P
11158,413,B
11162,316,B
11182,284,B
11231,1545,P
11267,527,B
11317,2131,P
11363,2492,P
11424,5140,P
11443,1925,B
11480,1565,B
11537,3670,P
11583,3832,P
11616,3347,P
11793,22348,I
11813,2541,P
11835,2683,P
11854,2411,P
11871,2318,P
11887,1720,P
11903,1781,P
11932,390,B
11984,2228,P
12016,453,B
12057,371,B
12098,319,B
12148,2005,P
12204,3594,P
12245,3385,P
12425,23657,I
12438,1631,P
12444,373,B
12447,306,B
12453,287,B
12485,2089,P
12514,382,B
12559,292,B
12599,290,B
12669,4450,P
12683,489,B
12720,195,B
12783,3194,P
12832,3815,P
12872,3752,P
13053,23855,I
13073,2563,P
13102,3726,P
13108,455,B
13111,160,B
13132,2890,P
13140,493,B
13180,359,B
13220,252,B
13296,4823,P
